id,principle_statement,verbatim_quote,explicit_or_inferred,confidence,event_date_edtf,audience,verification,fuzzy_score,char_start,char_end,reasoning
198,Church fellowship is a status that can be regained by individuals who have been previously separated from the body of the Church.,restored Father Tyler to the Church church,inferred,0.8,1833-10-05,meeting attendees,exact,,51550,51592,"The narrative describes the restoration of a member to the church, implying the theological principle that church membership is a state that can be regained through a process of reconciliation."
199,Organizational decisions within the church are reached through council and mutual agreement.,had Had a concel council of the united firm United Firm at which it was agreed,inferred,0.8,1833-10-05,United Firm members,exact,,51306,51384,"The text describes a council meeting where an agreement was reached, illustrating the principle of collective decision-making and common consent in church administration."
200,The redemption of Zion and the construction of a house for the Lord are essential religious priorities.,the important subject s of the deliverence deliverance of Zion and the building of the Lord ’ s house in Kirtland,inferred,0.85,1833-10-05,meeting attendees,exact,,52293,52406,"The text identifies these specific goals as 'important subjects' within the context of a religious meeting, establishing them as core theological and communal priorities for the movement."
201,Believers are expected to sacrifice financial resources to achieve the deliverance of Zion.,requested the brethren and sisters to contr i bute all the money they could for the deliverence deliverance of Zion,explicit,0.95,1833-10-05,brethren and sisters,exact,,52501,52616,"Joseph Smith directly calls for financial sacrifice as a necessary action to achieve a specific theological objective, linking temporal means to spiritual/communal salvation."
202,"The Holy Spirit provides direct, cautionary revelation to guide the actions and safety of individuals.",We were checked by the Spirit and refused,explicit,0.95,1833-10-05,traveling companions,exact,,53086,53127,"The account of being 'checked by the Spirit' illustrates the theological belief in immediate, protective revelation through the Holy Spirit to guide personal conduct and discernment."
203,The Holy Spirit provides promptings that can warn individuals of danger or guide their decisions.,We were checked by the Spirit and refused,inferred,0.85,1833-10-05,Personal journal/Scribes,exact,,53086,53127,"Joseph Smith records an instance where a spiritual impression dictated a specific action to avoid a threat, implying a theological principle regarding the function of the Spirit in providing personal revelation for safety."
204,Divine providence intervenes to protect individuals from the hands of their enemies.,we were successful in escaping their hands through the providence of the Lord,explicit,0.9,1833-10-05,Personal journal/Scribes,exact,,53264,53341,"Smith directly attributes their safety and escape from the men following them to the 'providence of the Lord,' asserting a belief in God's active protection of his servants."
205,An individual's capacity to perform significant good is dependent upon their continued faithfulness.,"may, if faithful, do much good",explicit,0.9,1833-10-05,Personal journal/Scribes,exact,,53668,53698,"Smith identifies faithfulness as the prerequisite condition for a 'good man' to be effective in his work or ministry, suggesting that spiritual utility is conditional."
206,Prayer should be directed to God the Father in the name of Jesus Christ.,called upon the Father in the name of Jesus,explicit,0.95,1833-10-05,private gathering of church leaders,exact,,54027,54070,"Joseph Smith describes the specific protocol used for prayer, establishing a theological pattern for communication with deity."
207,The organization of the Saints must be conducted according to the will of heaven.,organize them according to the will of heaven,explicit,0.9,1833-10-05,private gathering of church leaders,exact,,54348,54393,The text explicitly states that the organization of the people of the Lord is to be governed by divine will rather than human design.
208,"Divine strength, wisdom, and understanding are required to lead the people of the Lord.","give brother Brother Joseph strength , and wisdom , and understand ing sufficient to lead the people of the Lord",inferred,0.85,1833-10-05,private gathering of church leaders,exact,,54140,54252,"The prayer specifically petitions for these attributes as the necessary components for successful leadership of the church, implying they are divinely granted requirements."
209,The Saints are to be gathered and established on a specific land of inheritance.,"gather back , and establish the saints Saints upon the land of their inheritances",explicit,0.9,1833-10-05,private gathering of church leaders,exact,,54261,54342,This reflects the early Latter-day Saint doctrine of the gathering of Israel to a physical location (Zion) as a divinely mandated inheritance.
210,United prayer and supplication is the method for obtaining blessings for the church.,we united in prayer and suplication supplication for the blessings of the Lord to be given unto his church,inferred,0.8,1833-10-05,private gathering of church leaders,exact,,53913,54019,The act of uniting in prayer specifically for the church's blessings implies a belief in the efficacy of collective petition to secure divine favor.
211,The laying on of hands is a ritual practice used by church leadership for administration or blessing.,We then united and laid on hands,inferred,0.8,1833-10-05,private gathering of church leaders,exact,,54437,54469,"The text records the performance of this ritual by multiple leaders following their prayer, indicating its significance as a formal priesthood practice."
212,The laying on of hands is a ritual used to confer the spiritual blessings and qualifications required for a divine calling.,"laid on hands : Brothers Sidney Rigdon , Oliver Cowdery , and Zebedee Coltrin laid hands upon bro. Brother Joseph , and confirmed upon him all the blessings necessary to qualify him to stand before the Lord in his high calling",inferred,0.9,1833-10-05,"A small circle of early church leaders (Sidney Rigdon, Oliver Cowdery, Zebedee Coltrin)",fuzzy,99.11504424778761,54437,54727,"The text describes the laying on of hands as the specific mechanism through which spiritual qualifications and blessings are 'confirmed' upon an individual for their 'high calling,' implying a theological principle regarding the conferral of divine authority and capacity through physical ordinance."
213,Divine wisdom and understanding are necessary for the administrative task of arranging and publishing church covenants.,"confirmed upon him the blessings of wisdom and understanding sufficient for his station ; , that he be qualified to as sist brother Brother Sidney in ar ranging the church covenants",inferred,0.85,1833-10-05,"A small circle of early church leaders (Sidney Rigdon, Oliver Cowdery, Zebedee Coltrin)",exact,,54860,55041,"The text indicates that the work of organizing church covenants is not merely a secular task but requires divinely granted 'wisdom and understanding,' suggesting that ecclesiastical administration requires spiritual endowment."
214,Presiding over the church requires the assistance of the Spirit and specific spiritual gifts of knowledge.,"confirmed upon him the bles sings of wisdom and knowl edge to preside over the church in the abscence absence of brother Brother Joseph , and to have the spir it Spirit to assist",inferred,0.9,1833-10-05,"A small circle of early church leaders (Sidney Rigdon, Oliver Cowdery, Zebedee Coltrin)",exact,,55230,55408,"The text establishes that leadership roles (presiding) are not merely administrative but require spiritual empowerment, specifically the 'Spirit to assist' and gifts of 'wisdom and knowl edge.'"
215,Zion must be built up and Kirtland established as part of the divine timeline.,until Zion is built up & and Kirtland established,explicit,0.9,1833-10-05,Oliver Cowdery and Zebedee Coltrin,exact,,55552,55601,"The text frames the building of Zion and the establishment of Kirtland as specific, necessary objectives to be achieved before certain blessings or events are concluded."
216,The faithful are promised a crown of eternal life in the Kingdom of God.,a crown of eternal life in the Kingdom kingdom of God,explicit,0.95,1833-10-05,Oliver Cowdery and Zebedee Coltrin,exact,,55657,55710,This is a core soteriological principle identifying the ultimate reward for those who remain faithful in the work of the ministry.
217,"The gospel is intended to be preached globally, reaching even the islands of the seas.","preach the gospel, even till until it spreads to the islands of the seas",explicit,0.9,1833-10-05,Zebedee Coltrin,exact,,55843,55915,"This outlines the universal scope of the missionary mandate, suggesting that the gospel's reach is intended to be world-wide."
218,The Holy Spirit serves as a source of joy and comfort to the faithful.,"Our hearts rejoiced, and we were comforted with the Holy Spirit",explicit,0.95,1833-10-05,"Joseph Smith, Sidney Rigdon, and Oliver Cowdery",exact,,56071,56134,This describes the pneumatological function of the Holy Ghost in providing emotional and spiritual confirmation to believers.
219,Divine blessings and wisdom are conferred through the laying on of hands by those in authority.,"laid hands up on bro. Brother Zebedee , and con firmed the blessing",inferred,0.85,1833-10-05,Zebedee Coltrin,fuzzy,97.01492537313433,55748,55841,"The text describes the physical act of laying on hands as the specific mechanism for confirming a spiritual blessing, implying a theological principle regarding the transmission of divine power or gifts."
220,The Holy Spirit provides comfort and joy to the hearts of believers.,"Our hearts rejoiced, and we were comforted with the Holy Spirit , .",explicit,0.95,1833-10-05,,exact,,56071,56138,"Joseph Smith explicitly identifies the Holy Spirit as the source of the comfort and rejoicing experienced by the group, establishing a functional role for the Spirit in the life of the believer."
221,The 'Dispensation of the Fullness of Times' is a central theological framework for the instruction of the Saints.,"discourse upon the “ Dispensation dispensation of the ful ness of times,” &c etc .",inferred,0.85,1833-10-05,large con gregation of saints Saints,exact,,56281,56363,The recording of a discourse on this specific topic indicates its status as a foundational theological principle and a priority for public preaching in the early restoration movement.
222,Believers have a duty to provide material support and personal service for the relief of persecuted members of the faith.,"Some few vol unteered to go to Zion , and others donated $66.37 . for the bene fit of the scattered breth r en in Zion .",inferred,0.8,1833-10-05,conference,exact,,56473,56593,The positive reporting of volunteering and donating for 'scattered brethren' as part of a 'glorious time' at conference implies a principle of communal responsibility and sacrifice.
223,United prayer within a council of leaders is a method for seeking divine blessings and intervention.,"Assembled in council with breth r en Brethren Sidney Rigdon , Frederick G. Williams , Newel K. Whitney , John Johnson , and Oliver Cowdery and united in asking the Lord to give bro.",inferred,0.8,1833-10-05,"breth r en Brethren Sidney Rigdon , Frederick G. Williams , Newel K. Whitney , John Johnson , and Oliver Cowdery",fuzzy,97.79005524861878,56646,56865,The practice of 'uniting' in prayer within a formal council setting implies a theological principle regarding the efficacy of collective petition by leadership to obtain specific gifts or help from God.
224,Financial resources can be consecrated for the specific theological purpose of redeeming or delivering Zion,consecrated for the delivery of Zion,explicit,0.9,1833-10-05,donors and church members,exact,,57486,57522,"The text explicitly uses the theological term 'consecrated' to describe the nature of the donations and identifies the 'delivery of Zion' as the sacred objective for those funds, reflecting the doctrine of stewardship and the redemption of Zion."
225,The redemption or 'delivery' of Zion is a communal religious objective requiring material support from the faithful,consecrated for the delivery of Zion,inferred,0.85,1833-10-05,donors and church members,exact,,57486,57522,"While the text is a ledger, the categorization of funds for the 'delivery of Zion' implies a theological necessity for Zion to be liberated or restored through the collective efforts and sacrifices of the community."
226,Administering to the sick is performed to secure blessings for the afflicted and to bring glory to God.,"admin istering to the sick, for the purpose of obtaining blessings for them , and for the glory of the Lord",explicit,0.95,1833-10-05,Church leadership and scribes,exact,,58138,58245,The text explicitly defines the dual purpose of the action of administering to the sick as being for the benefit of the sick and the glory of the Lord.
227,United prayer is a formal means of petitioning God for specific divine intervention or approval.,united in prayer before the Lord for this thing,inferred,0.85,1833-10-05,Church leadership and scribes,exact,,58311,58358,The act of Joseph and his companions 'uniting' in prayer for a specific purpose (sending Frederick G. Williams to heal the sick) implies a theological belief in the efficacy of collective petition.
228,Divine blessings are requested through the authority and name of Jesus Christ.,"grant unto us those blessing s , in the name of Jesus Christ",explicit,0.98,1833-10-05,Deity,exact,,58374,58434,This is a direct application of the theological principle that prayer and petitions to God should be offered in the name of Christ.
229,The glory for answered petitions and divine blessings belongs eternally to God.,thy name shall have the glory forever,explicit,0.95,1833-10-05,Deity,exact,,58440,58477,The prayer explicitly attributes the credit and glory for the requested outcome to God's name rather than the human agents.
230,"Material resources can be consecrated, or set apart as holy, for the use of the church.",consecrated money,inferred,0.8,1833-10-05,Church members and scribes,exact,,58609,58626,The use of the term 'consecrated' to describe church funds implies a theological principle regarding the dedication of property to God's work.
231,God provides temporal relief for His work by influencing the hearts of individuals to be generous.,the Lord had lately sent us by opening the hearts of certain brethren from the east East to loan us $430,inferred,0.9,1833-10-05,private journal entry,exact,,59026,59130,"Joseph Smith attributes the receipt of a loan to divine intervention, specifically stating that the Lord 'opened the hearts' of the lenders, which implies a theological belief in God's influence over human agency to fulfill the temporal needs of the church."
232,Prayer should consist of both expressions of gratitude for past divine assistance and petitions for future blessings.,"united in prayer for the contin uance of blessings, after giving thanks for the relief which the Lord had lately sent us",inferred,0.85,1833-10-05,private prayer circle,exact,,58933,59053,"The text describes a specific pattern of prayer practiced by Joseph Smith and Oliver Cowdery, modeling a theological approach where thanksgiving for specific providence is a prerequisite or companion to seeking further help."
233,Financial resources can be sanctified or set apart as sacred for religious purposes.,consecrated money,inferred,0.8,1833-10-05,,exact,,58609,58626,The use of the term 'consecrated' to describe money indicates a theological framework where material wealth is not merely secular but can be dedicated to God and transformed into a holy resource for the church.
234,There is a spiritual obligation to utilize property and wealth for the publication of divine revelation.,put it in for the printing of the word of the Lord,inferred,0.75,1833-10-05,,exact,,58793,58843,The recording of Edmund Bosley's promise to use his property for 'printing the word of the Lord' suggests a shared principle that the dissemination of scripture is a primary and worthy use of personal consecrated assets.
235,Tithing consists of giving one-tenth of all increase to the poor or as directed by God.,"of all that he shall give us we will give a tenth, to be bestowed upon the poor in his church, or as he shall command",explicit,0.98,1833-10-05,Joseph Smith and Oliver Cowdery,exact,,59497,59614,The text explicitly defines a tenth as the portion to be given for the poor or church purposes as part of a formal covenant with God.
236,Faithfulness in managing current stewardships is a prerequisite for receiving greater blessings or responsibilities.,we will be faithful over that which he has en trus ted to our care that we may obtain much,explicit,0.95,1833-10-05,Joseph Smith and Oliver Cowdery,fuzzy,98.88888888888889,59614,59740,"The text states a direct correlation between being faithful over what is entrusted and the expectation of obtaining more, reflecting a theological principle of stewardship."
237,Sacred covenants should be recorded and passed down for future generations to observe.,our children after us shall remember to observe this sacred and holy cove nant,explicit,0.9,1833-10-05,Joseph Smith and Oliver Cowdery,exact,,59736,59814,"The covenant includes a specific provision for children to remember and observe the agreement, highlighting the intergenerational nature of religious obligations in Smith's theology."
238,Divine assistance in temporal affairs is sought to preserve the reputation of God's people.,"if the Lord will prosper us in our busi ness , and open the way be fore us us that we may obtain means to pay our debts, that we be not troubled nor brought into disrepute before the world nor his people",inferred,0.85,1833-10-05,Joseph Smith and Oliver Cowdery,fuzzy,99.50738916256158,59233,59516,"The prayer for prosperity is explicitly linked to the goal of avoiding 'disrepute,' implying a principle that temporal integrity and debt-payment reflect on the spiritual standing of the community."
239,Records of covenants should be preserved so that future generations may have knowledge of them.,"And that our children and our chil dren’s children may know of the same , we here subscribe our names with our own hands before the Lord",explicit,0.95,1833-10-05,God and future descendants,exact,,59820,59956,Joseph Smith explicitly states that the purpose of signing the document is to ensure their descendants have knowledge of the covenant being made.
240,God grants protection and prosperity to those who enter into a covenant with Him.,"as thou didst prosper our father Jacob , and bless him with protection and prosperity where ever wherever he went from the time he made a like covenant before and with thee",inferred,0.9,1833-10-05,God,exact,,60014,60186,Smith uses the biblical precedent of Jacob to establish the theological expectation that making a covenant with God results in divine protection and prosperity.
241,Covenant-making can lead to the opening of the heavens and the receipt of divine promises.,"as thou didst ,— even the same night , open the heavens unto him and manifest great mercy and favor , and give him promises, so wilt thou do by us his sons",inferred,0.9,1833-10-05,God,exact,,60195,60350,"Smith petitions God for the same spiritual manifestations given to Jacob upon his covenant, implying a direct link between the act of covenanting and receiving revelation."
242,Modern believers are the spiritual or literal heirs to the blessings and identity of the biblical patriarchs.,so wilt thou do by us his sons,explicit,0.95,1833-10-05,God,exact,,60320,60350,"Smith identifies himself and Oliver Cowdery as the 'sons' of Jacob, indicating a belief in a shared lineage or theological inheritance of the blessings promised to the patriarchs."
243,Covenant blessings have the potential to expand and prevail beyond the blessings of previous generations.,"as his blessings prevailed above the blessings of his Progenitors progenitors into the utmost bounds of the everlasting hills, even so may our blessings prevail like his",inferred,0.85,1833-10-05,God,exact,,60364,60533,"Smith draws a parallel between Jacob's expansive blessings and his own expectations, suggesting a principle where covenantal favor can grow and exceed ancestral precedents."
244,"Blessings can prevail and extend to the bounds of the everlasting hills, following the pattern of one's progenitors.","as his blessings prevailed above the blessings of his Progenitors progenitors into the utmost bounds of the everlasting hills, even so may our blessings prevail like his",inferred,0.8,1833-10-05,Scribes and close associates,exact,,60364,60533,"Joseph Smith applies a biblical precedent (likely the blessings of Joseph of Egypt) to his own context, suggesting a theological belief in the continuity and expansion of ancestral blessings."
245,God's servants can be preserved from the power and influence of unrighteous individuals.,may thy servants be preserved from the power and influence of wicked and unrighteous men,inferred,0.85,1833-10-05,Scribes and close associates,exact,,60547,60635,This prayerful petition reflects a theological belief in divine protection against the social and spiritual influence of the wicked.
246,Weapons formed against God's servants will ultimately fall upon those who created them.,may every weapon formed against us fall upon the head of him who shall form it,inferred,0.85,1833-10-05,Scribes and close associates,exact,,60637,60715,This principle articulates a concept of divine justice where the malice intended for the righteous is redirected by God back to the aggressor.
247,Faithful individuals may obtain a name and a place among the sanctified in the afterlife.,"may we be blessed with a name and a place among thy saints Saints here , and thy sanc tified when they shall rest.",inferred,0.85,1833-10-05,Scribes and close associates,exact,,60717,60831,The petition for a place among the 'sanctified' when they 'rest' implies a theological framework for eternal reward and the classification of souls after death.
248,Reflecting upon the goodness and mercy of the Lord can facilitate the reception of prophecy.,"While reflecting upon the goodness and mercy of the Lord , this evening, a prophecy was put into our hearts",explicit,0.95,1833-10-05,Scribes and close associates,exact,,60904,61011,Joseph Smith explicitly describes the mental and spiritual state of reflection as the catalyst for receiving a prophetic impression.
249,The Lord can arrange His providence to deliver His servants from temporal debt and bondage.,the Lord would arrange his providen ces in a merciful man ner and send us assist ance to deliver us from debt and bon dage.,explicit,0.95,1833-10-05,Scribes and close associates,exact,,61035,61158,The text records a specific prophecy asserting that God intervenes in financial and temporal affairs to provide relief for His followers.
250,The Holy Spirit provides specific directions for the actions and decisions of church leadership.,According to the directions of the Holy Spirit,explicit,0.95,1833-10-05,Scribes and close associates,exact,,61220,61266,Joseph Smith attributes the specific administrative or ministerial actions of himself and his counselors to the direct guidance of the Holy Spirit.
251,Jesus Christ was crucified for the sins of the world,Jesus Christ who was crucified for the sins of the world,explicit,1.0,1833-10-05,"Oliver Cowdery, Sidney Rigdon, and Frederick G. Williams",exact,,61661,61717,Joseph Smith explicitly identifies the crucifixion of Jesus Christ as being for the purpose of addressing the sins of the world during the ordination prayer.
252,Priesthood ordination is performed through the laying on of hands,"I lay my hands upon thee , and ordain thee",explicit,1.0,1833-10-05,"Oliver Cowdery, Sidney Rigdon, and Frederick G. Williams",exact,,61719,61761,The text records the physical act and the verbal declaration of laying on hands as the method for conferring priesthood office.
253,The priesthood is a high and holy institution,high and holy p r iest hood,explicit,0.95,1833-10-05,"Oliver Cowdery, Sidney Rigdon, and Frederick G. Williams",exact,,61803,61830,Joseph Smith uses specific sacralizing adjectives to define the nature and status of the priesthood authority being conferred.
254,The Holy Spirit provides specific direction for the conduct and order of speakers in religious meetings,"The voice of the Spirit is , that brother Brother Sidney Rigdon speak to the congregation this day , first, Brother Joseph next, bro. Brother Oliver Cowdery next . , and if time , bro Zebedeee Brother Zebedee Coltrin .",explicit,0.95,1833-10-05,The congregation and church leadership,fuzzy,99.08256880733946,62833,63114,"Joseph Smith explicitly attributes the specific order of speakers for the day's meeting to the 'voice of the Spirit', establishing a theological principle that divine revelation governs the procedural and liturgical aspects of worship services."
